id,csdbId,name,status,category,subcategory,address
Csdb__ScamDomains__0d66f8,0d66f8,eth-givea-way.com,,Scamming,Trust-Trading,0x16c26eb6051fe13273c634cb6df70a26befa9ec3
Csdb__ScamDomains__11a97b,11a97b,get-ethereum.org,,Scamming,Trust-Trading,0x78c544EEdE78eb781707A1d46377bf6BE9D028Df
Csdb__ScamDomains__634123,634123,ethereum.vu,,Scamming,Trust-Trading,0xf51b4021c6F1aF31f44Bf575188986E733A971Fe
Csdb__ScamDomains__588a6b,588a6b,medium.com,,Phishing,Shivom,0xD4718F4601Af5365360896F763bb9D7173257450
Csdb__ScamDomains__7c6ea9,7c6ea9,bonus.gift-ether.com,,Scamming,Trust-Trading,0xb9b9B6acA1A0cf4EA4EB0CeD466D66A62F8EB072
Csdb__ScamDomains__3bc466,3bc466,eth-giveaway.updog.co,,Scamming,Trust-Trading,0xd0bD5Be5DF3681608F5FDA3D003EFaA0371dc4d7
Csdb__ScamDomains__8bdcef,8bdcef,5000eth.org,,Scamming,Trust-Trading,0x304d66005b5aD49F7Ce54AceBA9bBaDb4A5774db
Csdb__ScamDomains__df0a8d,df0a8d,giveavvay10000eth.host,,Scamming,Trust-Trading,0xAd2E834840954231b924b51bFB92C7f457CA30D9
Csdb__ScamDomains__371cd7,371cd7,eth-giveaway.co.nf,,Scamming,Trust-Trading,0x4F484c32c4810AE8129f1B724b09c663F8341713
Csdb__ScamDomains__698ebf,698ebf,verifiedeth.com,,Scamming,Trust-Trading,0xb0608cA76D2ec6984f652829e887811516E4B846
Csdb__ScamDomains__7356d8,7356d8,ethergive.000webhostapp.com,,Scamming,Trust-Trading,0x7b66563dd534c3e66fee08c995da9d5e77c883f9
Csdb__ScamDomains__ea4c67,ea4c67,5000.ethereumgive.com,,Scamming,Trust-Trading,0xf6238cBC1b74b183E54d63A555f867bAA00D92dF
Csdb__ScamDomains__653a48,653a48,hederahashgraph.online,,Phishing,Hedera,0xD582CeC308D9320B2EC3dC2868b56549fc8Ace5A
Csdb__ScamDomains__1cb211,1cb211,ocoins.tech,,Phishing,Odyssey,0x05fbf1e3f105df6a4553f3c7f2ed93070a4bab46
Csdb__ScamDomains__2c96ee,2c96ee,ethereums.cloud,,Scamming,Trust-Trading,0x085f9b53aCBff0E4683463FEf1A583d299bd4e25
Csdb__ScamDomains__d5e7db,d5e7db,ethsecurepay.com,,Scamming,Trust-Trading,0xDc261F7A835C3692e22485AB2d78cbADf3842490
Csdb__ScamDomains__dec4ad,dec4ad,get-eth.us,,Scamming,Trust-Trading,0x2eB045d518290ACA828046641D29f605eAd1A283
Csdb__ScamDomains__fd151a,fd151a,ethereum5000.com,,Scamming,Trust-Trading,0xf6238cBC1b74b183E54d63A555f867bAA00D92dF
Csdb__ScamDomains__31cfd4,31cfd4,ethereumgive.com,,Scamming,Trust-Trading,0xf6238cBC1b74b183E54d63A555f867bAA00D92dF
Csdb__ScamDomains__85c494,85c494,eth-payment.online,,Scamming,Trust-Trading,0x8408263f4f0691db34Bd7666b5Af61e19cb91B91
Csdb__ScamDomains__85e328,85e328,shivom.sale,,Phishing,,0xE2bCA95F5f33A981AAf51372b9596ff3837E0A5c
Csdb__ScamDomains__e2a7b8,e2a7b8,freeeth.info,,Scamming,Trust-Trading,0xf6238cBC1b74b183E54d63A555f867bAA00D92dF
Csdb__ScamDomains__9e0816,9e0816,hederahashgraph.store,,Phishing,Hedera,0x2d301d74a8d303da6408Cc2dFDA319BbEb48c125
Csdb__ScamDomains__9da094,9da094,quarkchain.tech,,Phishing,Quarkchain,0xBb5F90c64920667a2851Fd97E955248F04e16b75
Csdb__ScamDomains__43a151,43a151,orchidprotocols.com,,Phishing,Orchid,0x8A0E85901849B40A7F80399a00F7115193c0BDB2
Csdb__ScamDomains__81a520,81a520,take-eth.online,,Scamming,Trust-Trading,0x45f7582fd6445918912977b9460475b5524cF962
Csdb__ScamDomains__4f2a33,4f2a33,quick.payeths.com,,Scamming,Trust-Trading,0xE7a06AAb8286cEF4206942a4891EE95A40E86466
Csdb__ScamDomains__a0f755,a0f755,freecoingifts.com,,Scamming,Trust-Trading,0x4a8D9B64ee9c7e058fe9c8cBF96375b02Da006E2
Csdb__ScamDomains__2bece9,2bece9,etherget.us,,Scamming,Trust-Trading,0xa62cB4bD9E69E9170a2d973AA3aECE5A1215D41C
Csdb__ScamDomains__ad576a,ad576a,elon-giveaway.com,,Scamming,Trust-Trading,0xae9dcec1fb0814CA02ca1e6690D05F33488B4C8B
Csdb__ScamDomains__2fbb8f,2fbb8f,free-eth.news,,Scamming,Trust-Trading,0xa525DD7A8034BAbf46f3f6e253035FB2Bcf358b7
Csdb__ScamDomains__87c621,87c621,coinbase-eth-giveaway.com,,Scamming,Trust-Trading,0x005b9f4516f8e640bbe48136901738b323c53b00
Csdb__ScamDomains__ff81b0,ff81b0,eden-chain.io,,Phishing,Eden,0xAFf0c90E333D22569513fd50a8860c8F5920571A
Csdb__ScamDomains__8ddb29,8ddb29,get-ethereum.ml,,Scamming,Trust-Trading,0x497E4c58A4106fEE817e3BEce3C5c029e964Eb49
Csdb__ScamDomains__7310dc,7310dc,5000eth.net,,Scamming,Trust-Trading,0x2276f412d2ae5dc2cdc293b0df70a8273f6f6771
Csdb__ScamDomains__67a367,67a367,claim.payeths.com,,Scamming,Trust-Trading,0xb48c99C37b7cf4AC0A1c2dcA518782C1FEB4f066
Csdb__ScamDomains__21df45,21df45,gameofdeception.get-5000-eth.com,,Scamming,Trust-Trading,0xf6238cBC1b74b183E54d63A555f867bAA00D92dF
Csdb__ScamDomains__8ffa59,8ffa59,mycrypto.get-5000-eth.com,,Scamming,Trust-Trading,0xf591bBF70178bCAa80D306Ab65755ab7038962Cd
Csdb__ScamDomains__0fd17c,0fd17c,payments.payeths.com,,Scamming,Trust-Trading,0xb48c99C37b7cf4AC0A1c2dcA518782C1FEB4f066
Csdb__ScamDomains__bcad88,bcad88,ethgiveavvay.com,,Scamming,Trust-Trading,0x89c0e39f3b3Be95c238912788687DBAebe7e6A2B
Csdb__ScamDomains__ea1232,ea1232,kinecosystems.org,,Phishing,Kin,0x89c0e39f3b3Be95c238912788687DBAebe7e6A2B
Csdb__ScamDomains__bde22d,bde22d,quarkchain.website,,Phishing,Quarkchain,0xB9Ee29FF43D319c126ED2Dbdd74d49a2659EDe56
Csdb__ScamDomains__a8e3d8,a8e3d8,quark-chain.io,,Phishing,Quarkchain,0xbEaaD836E717Dd22f59752d60223971db197EF4E
Csdb__ScamDomains__714dc4,714dc4,promo-give-ethereum.org,,Scamming,Trust-Trading,0x7D922A4f7F24fFcb130c4EEAF291A6475e3e4Dd2
Csdb__ScamDomains__89eb15,89eb15,give-ethereum.org,,Scamming,Trust-Trading,0x7D922A4f7F24fFcb130c4EEAF291A6475e3e4Dd2
Csdb__ScamDomains__38e064,38e064,ethereum-giveaway.site,,Scamming,Trust-Trading,0x299628fD380813622305517E64eee89BB6a49Ca3
Csdb__ScamDomains__af306d,af306d,user-images.githubusercontent.com,,Phishing,Telegram,0xaC57457748d66139ec89a6D1b13BF119A1EFb31a
Csdb__ScamDomains__f58bcf,f58bcf,brickblocks.io,,Phishing,Brickblocks,0x2Dc5616EC2b9D24906F0e11dC8D8a736392dFeDD
Csdb__ScamDomains__78875d,78875d,quarkchain.de,,Phishing,Quarkchain,0xB9Ee29FF43D319c126ED2Dbdd74d49a2659EDe56
Csdb__ScamDomains__1fdd51,1fdd51,ethsafepay.net,,Scamming,Trust-Trading,0x1b8ee5cB5520ea3d12F64a8973c2A4F0cbcB1564
Csdb__ScamDomains__575874,575874,presale.getmyethers.net,,Phishing,Brickblock,0x40949225c4a1745a9946F6AAf763241c082cb9ac
Csdb__ScamDomains__da918d,da918d,brickblockio.info,,Phishing,Brickblock,0xe949A4c861089fBdE6eF1175C23E1485D5970567
Csdb__ScamDomains__c7f145,c7f145,collect.ethforyou.com,,Scamming,Trust-Trading,0x3EadB407F81d62D27F63a8881805B1735F70E692
Csdb__ScamDomains__4f90d3,4f90d3,getmyetho.paperplane.io,,Scamming,Trust-Trading,0x35919ff0a88A0bDFd1b0EF3be574bcF6C1e90e01
Csdb__ScamDomains__3facce,3facce,giveawayethereum.win,,Scamming,Trust-Trading,0x8aF1380c436fC019b8055C61d09e3Ee5F182278C
Csdb__ScamDomains__5aad99,5aad99,musk-party-gifts.updog.co,,Scamming,Trust-Trading,0x10c44aB858B90E09C725158906F71833fF417ACC
Csdb__ScamDomains__82389f,82389f,telegram-token.io,,Phishing,Telegram,0x52bEF206E8e0403Cd60d37E48f4F3860D9545556
Csdb__ScamDomains__d430e6,d430e6,free-eth.paperplane.io,,Scamming,Trust-Trading,0x92cd726CE03cEaa4bF7198ce9c52D05D63ceE575
Csdb__ScamDomains__8eaa2f,8eaa2f,xn--bifinex-fb4c.com,,Scamming,Trust-Trading,0x09430a9Fb46a1a3B83980768C4cEDF654d8eefa3
Csdb__ScamDomains__620afd,620afd,dav.icocrowdsale.io,,Phishing,,0x2831f460a932F3B7b44fB90FFCD7fdDAdDf4C980
Csdb__ScamDomains__c57e66,c57e66,secure-ethereum.tw1.su,,Scamming,Trust-Trading,0xDD44566108758d8C8224D303EF92492229014a2A
Csdb__ScamDomains__30daed,30daed,sentinelprotocol.pw,,Phishing,Sentinel,0xC3CAf142A41b0FAE78a922C25Fc0EEcdcF0985D1
Csdb__ScamDomains__9bc90c,9bc90c,24h.infora.hu,,Scamming,Trust-Trading,0x794Cd1329493Dc9c6ceB0ec9955890d392C811dA
Csdb__ScamDomains__d5fb57,d5fb57,eth-securepay.com,,Scamming,Trust-Trading,0x5580FB6E95230BF16AE7e2c6467D11566ed5b3Ea
Csdb__ScamDomains__1ea21c,1ea21c,secureceth.com,,Scamming,Trust-Trading,0x5970d26C51397578c2b3420d20FbB2bcC5C5b00E
Csdb__ScamDomains__5618cb,5618cb,eth-giving.ga,,Scamming,Trust-Trading,0x85234C92D4dDdF239df9c76497A6516fDf546577
Csdb__ScamDomains__ddd3f0,ddd3f0,free-eths.paperplane.io,,Scamming,Trust-Trading,0x93A036a4FB47F22989ec1d11b134Bb177E66A6bD
Csdb__ScamDomains__036f60,036f60,quarkchain-tokens.io,,Phishing,QuarkChain,0x705F704d11020fF07ACdE8592bb80B044e15de16
Csdb__ScamDomains__87301a,87301a,giveavvay-10000eth.online,,Scamming,Trust-Trading,0x00EB6f5199cD0B671da371969B1A0F948e982Fea
Csdb__ScamDomains__c9e424,c9e424,ethpromo.org,,Scamming,Trust-Trading,0x934f49fCF451A34026E3dFc3f26a1De01b83b509
Csdb__ScamDomains__7f7e0a,7f7e0a,edenchain.site,,Phishing,Eden,0xfAc9eeb5cC03Db0CFF26e518f19CCFBf080689A1
Csdb__ScamDomains__9c07a1,9c07a1,quarkchain.live,,Phishing,QuarkChain,0x0a888f0F0b772e17a2ADFd62D3f15CeC72c8D42f
Csdb__ScamDomains__9276b4,9276b4,etherfree.tech,,Scamming,Trust-Trading,0x8C9D135aC2778e1A7d326932AaD302e7c22c94D7
Csdb__ScamDomains__a99297,a99297,etherums-givingaway.atspace.tv,,Scamming,Trust-Trading,0x368bE389Ce940bf17C3296344086E368bc4C60f3
Csdb__ScamDomains__774e05,774e05,ethgiveavvay.site,,Scamming,Trust-Trading,0x0C4762Bc7B1Af1DC9448A827f53861c118B712dE
Csdb__ScamDomains__e57b9e,e57b9e,omisegowallet.network,,Phishing,Omise,0x4bc2055440dd519fa4d448d2d6899e6604aaedc5
